,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
0,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,bottom,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
1,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,top,top,top,top,bottom,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
2,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,middle,top,top,top,top,bottom,bottom,middle,bottom,bottom,bottom,bottom,bottom,3
3,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,middle,middle,middle,middle,top,middle,middle,top,middle,top,bottom,middle,bottom,bottom,top,middle,top,bottom,bottom,bottom,top,top,top,top,top,0
4,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,2
5,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,middle,middle,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
6,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,top,top,middle,top,top,bottom,bottom,bottom,bottom,bottom,2
7,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,top,middle,middle,bottom,bottom,middle,middle,middle,3
8,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,middle,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
9,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,middle,middle,top,top,middle,bottom,top,middle,top,bottom,middle,bottom,bottom,top,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
10,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,3
11,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,top,top,top,middle,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
12,middle,top,top,middle,middle,middle,middle,top,top,top,top,middle,top,middle,top,top,top,top,middle,top,top,middle,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
13,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,2
14,top,middle,top,middle,top,middle,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
15,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
16,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
17,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
18,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,middle,top,middle,bottom,top,middle,top,bottom,middle,bottom,bottom,top,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
19,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,bottom,middle,middle,top,top,middle,middle,top,middle,top,bottom,bottom,bottom,bottom,middle,bottom,top,bottom,bottom,bottom,top,top,top,top,top,0
20,top,top,top,middle,top,top,top,top,top,middle,middle,top,top,middle,top,top,top,top,middle,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
21,top,top,top,top,top,top,top,middle,top,top,top,top,top,middle,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
22,bottom,bottom,middle,bottom,bottom,bottom,bottom,middle,middle,middle,middle,middle,top,middle,bottom,top,middle,top,bottom,bottom,bottom,bottom,top,middle,top,bottom,bottom,bottom,top,top,top,top,top,0
23,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,top,top,top,top,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
24,middle,top,middle,middle,middle,middle,middle,middle,middle,top,top,middle,top,middle,top,top,top,top,middle,top,top,bottom,middle,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
25,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
26,top,middle,top,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
27,middle,top,top,middle,top,middle,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,2
28,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,2
29,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,bottom,top,top,top,top,middle,bottom,bottom,bottom,bottom,bottom,bottom,bottom,3
30,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,top,top,top,top,middle,top,middle,bottom,bottom,bottom,bottom,bottom,3
31,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,middle,top,middle,middle,top,top,top,top,middle,middle,bottom,bottom,bottom,bottom,bottom,bottom,2
32,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,middle,middle,top,top,top,top,middle,middle,middle,bottom,bottom,bottom,bottom,bottom,3
33,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,middle,top,top,top,top,bottom,bottom,middle,bottom,bottom,bottom,bottom,bottom,2
34,middle,top,top,middle,top,top,middle,top,top,middle,top,top,top,middle,top,top,top,top,middle,top,top,middle,top,top,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
35,top,top,top,middle,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,top,middle,top,top,top,top,bottom,bottom,bottom,bottom,bottom,1
